layer_name;HighFi;MediumFi;LowFi
Middel point;0,0;;
Middel point;;;0,0
Middel point;;;0,0
Middel point;;0,0;
Middel point;0,0;;
Middel point;;0,0;
Middel point;;;0,0
Middel point;;;0,0
Middel point;;0,0;
Middel point;;;0,0
Middel point;;;0,0
Middel point;;0,0;
Middel point;;0,0;
Middel point;0,0;;
Middel point;0,0;;
Middel point;;0,0;
Middel point;;0,0;
Middel point;0,0;;
Middel point;;;0,0
Middel point;;;0,0
Middel point;;;0,0
Middel point;;0,0;
Middel point;;;0,0
Middel point;;0,0;
Middel point;0,0;;
Middel point;;;0,0
Middel point;;0,0;
Middel point;0,0;;
Middel point;0,0;;
Middel point;;;0,0
Middel point;;0,0;
Middel point;0,0;;
Middel point;;0,0;
Middel point;0,0;;
Middel point;0,0;;
Middel point;;;0,0
Middel point;;0,0;
Middel point;;0,0;
Middel point;0,0;;
Middel point;;;0,0
Shaker Bottle;;9,565914686521864;
Shaker Bottle;;;130,13012311852071
Shaker Bottle;143,87690919436977;;
Shaker Bottle;;251,94116658517032;
Shaker Bottle;;69,96895614936693;
Shaker Bottle;;;44,660333929918124
Shaker Bottle;;;169,52344093132706
Shaker Bottle;26,046899869732442;;
Shaker Bottle;;;145,95060715496948
Shaker Bottle;20,922184635035592;;
Shaker Bottle;;;310,0543942121876
Shaker Bottle;;;310,0543942121876
Shaker Bottle;20,922184635035592;;
Shaker Bottle;;69,96895614936693;
Shaker Bottle;;;145,95060715496948
Shaker Bottle;26,046899869732442;;
Shaker Bottle;;;165,10954952939937
Shaker Bottle;;;143,87950834243384
Shaker Bottle;;79,95454300760503;
Shaker Bottle;9,377080290114236;;
Shaker Bottle;57,99329113834165;;
Shaker Bottle;9,377080290114236;;
Shaker Bottle;;79,95454300760503;
Shaker Bottle;;251,94116658517032;
Shaker Bottle;57,99329113834165;;
Shaker Bottle;;;165,10954952939937
Shaker Bottle;156,92143412329278;;
Shaker Bottle;;9,565914686521864;
Shaker Bottle;;8,502079838614009;
Shaker Bottle;;8,502079838614009;
Shaker Bottle;;;44,660333929918124
Shaker Bottle;;;143,87950834243384
Shaker Bottle;156,92143412329278;;
Shaker Bottle;;;130,13012311852071
Shaker Bottle;143,87690919436977;;
Shaker Bottle;152,8183376924062;;
Shaker Bottle;12,660143229077221;;
Shaker Bottle;12,660143229077221;;
Shaker Bottle;12,549578677018872;;
Shaker Bottle;12,549578677018872;;
Shaker Bottle;;12,655603069310018;
Shaker Bottle;;12,655603069310018;
Shaker Bottle;;;337,93023922733846
Shaker Bottle;;122,37756151142821;
Shaker Bottle;25,798500876706385;;
Shaker Bottle;25,798500876706385;;
Shaker Bottle;;122,37756151142821;
Shaker Bottle;;324,82672958078183;
Shaker Bottle;;324,82672958078183;
Shaker Bottle;;;149,6977266635513
Shaker Bottle;;;149,6977266635513
Shaker Bottle;;170,47837426618207;
Shaker Bottle;;;12,358311100622814
Shaker Bottle;;12,223391479346901;
Shaker Bottle;;12,223391479346901;
Shaker Bottle;614,5234542704711;;
Shaker Bottle;614,5234542704711;;
Shaker Bottle;;;337,93023922733846
Shaker Bottle;;19,58013380529883;
Shaker Bottle;11,190628160518827;;
Shaker Bottle;2,737347685142595;;
Shaker Bottle;11,190628160518827;;
Shaker Bottle;2,737347685142595;;
Shaker Bottle;;;72,40262619601572
Shaker Bottle;;;12,358311100622814
Shaker Bottle;;170,47837426618207;
Shaker Bottle;;;72,40262619601572
Shaker Bottle;152,8183376924062;;
Shaker Bottle;;19,58013380529883;
Shaker Bottle;;;4,264798401418375
Shaker Bottle;;;4,264798401418375
Shaker Bottle;106,14360229456179;;
Shaker Bottle;;;83,43051517724234
Shaker Bottle;;54,9296092557488;
Shaker Bottle;;;83,43051517724234
Shaker Bottle;;;158,7747585142497
Shaker Bottle;;;32,21058930963045
Shaker Bottle;106,14360229456179;;
Shaker Bottle;;3,4614420096040703;
Shaker Bottle;35,59499755720026;;
Shaker Bottle;;54,9296092557488;
Shaker Bottle;;;32,21058930963045
Shaker Bottle;;3,4614420096040703;
Shaker Bottle;;26,919299824137852;
Shaker Bottle;;;158,7747585142497
Shaker Bottle;;;169,52344093132706
Shaker Bottle;;81,57084991058218;
Shaker Bottle;;81,57084991058218;
Shaker Bottle;35,59499755720026;;
Shaker Bottle;;26,919299824137852;
Soda gun;2,5988155053491937;;
Soda gun;;;0,0
Soda gun;;0,0;
Soda gun;0,0;;
Soda gun;;;0,0
Soda gun;;;0,0
Soda gun;;0,0;
Soda gun;;;0,0
Soda gun;8,919057543831286;;
Soda gun;0,0;;
Soda gun;;;0,0
Soda gun;0,0;;
Soda gun;;;0,0
Soda gun;2,3480778961238684;;
Soda gun;;0,0;
Soda gun;;;0,0
Soda gun;;2,0835267997317715;
Soda gun;;;0,0
Soda gun;0,0;;
Soda gun;;7,633475806796923;
Soda gun;0,0;;
Soda gun;;0,0;
Soda gun;0,0;;
Soda gun;0,0;;
Soda gun;;;0,0
Soda gun;;6,978255720132438;
Soda gun;;;0,0
Soda gun;;0,0;
Soda gun;;12,673329424389522;
Soda gun;;;0,0
Soda gun;0,0;;
Soda gun;;;0,0
Soda gun;;;0,0
Soda gun;0,0;;
Soda gun;;0,0;
Soda gun;;7,211035500164144;
Soda gun;0,0;;
Soda gun;;0,0;
Soda gun;;8,681613319859025;
Soda gun;;3,377904208182372;
Soda gun;;0,0;
Soda gun;;;0,0
Soda gun;0,0;;
Soda gun;;;10,348726023701602
Soda gun;0,0;;
Spoon;;;4,534211401100038
Spoon;;;9,592264038779831
Spoon;;;0,0
Spoon;;;8,900408275672817
Spoon;;;2,9180476034161984
Spoon;;0,0;
Spoon;2,2930688026171993;;
Spoon;6,229019595950376;;
Spoon;;0,0;
Spoon;0,0;;
Spoon;;10,316606608059374;
Spoon;;5,615699294648948;
Spoon;0,0;;
Spoon;;;10,356922680468415
Spoon;;36,489178594594705;
Spoon;;;8,677366806194186
Spoon;20,24323974258732;;
Spoon;;5,703476385999238;
Spoon;;0,0;
Spoon;2,3330418974219356;;
Spoon;;;6,602892575021542
Spoon;;;34,04295175240259
Spoon;0,0;;
Spoon;0,0;;
Spoon;21,758318188309886;;
Spoon;5,810005987535533;;
Spoon;;5,072024895060167;
Spoon;;;2,613014403206762
Spoon;;;9,123667348307208
Spoon;;15,376495082387919;
Spoon;;2,2360727008244794;
Spoon;;8,15895748118055;
Spoon;12,177194953821527;;
Spoon;;22,74291033911868;
Spoon;18,749371641770267;;
Spoon;12,023909328040872;;
Spoon;;;27,94174851700518
Spoon;;5,202816521647037;
Spoon;;;4,570421098074803
Spoon;;;15,666190376850409
Spoon;;2,9754757001355756;
Spoon;;2,2229596013239643;
Spoon;6,549396979127778;;
Spoon;;;17,685323402867652
Spoon;0,0;;
Strainer;;;0,0
Strainer;0,0;;
Strainer;0,0;;
Strainer;0,0;;
Strainer;;;0,0
Strainer;0,0;;
Strainer;0,0;;
Strainer;;;0,0
Strainer;0,0;;
Strainer;;;0,0
Strainer;0,0;;
Strainer;0,0;;
Strainer;0,0;;
Strainer;0,0;;
Strainer;0,0;;
Strainer;0,0;;
Strainer;;;0,0
Strainer;;;0,0
Strainer;;;0,0
Strainer;;;0,0
Strainer;;0,0;
Strainer;;0,0;
Strainer;;;0,0
Strainer;;0,0;
Strainer;;;0,0
Strainer;;0,0;
Strainer;;0,0;
Strainer;;0,0;
Strainer;;;0,0
Strainer;;;0,0
Strainer;0,0;;
Strainer;;0,0;
Strainer;;0,0;
Strainer;;0,0;
Strainer;;0,0;
Strainer;0,0;;
Strainer;0,0;;
Strainer;;0,0;
Strainer;;;0,0
Strainer;;0,0;
Strainer;;0,0;
Strainer;;0,0;
Strainer;;;0,0
Strainer;;0,0;
Strainer;;;0,0
Tire;;;0,0
Tire;;;0,0
Tire;;;0,0
Tire;;;0,0
Tire;;;0,0
Tire;;;0,0
Tire;;;0,0
Tire;;;0,0
Tire;;;0,0
Tire;;0,0;
Tire;0,0;;
Tire;0,0;;
Tire;;;0,0
Tire;0,0;;
Tire;0,0;;
Tire;;0,0;
Tire;0,0;;
Tire;0,0;;
Tire;;0,0;
Tire;;0,0;
Tire;0,0;;
Tire;;0,0;
Tire;;0,0;
Tire;;;0,0
